session,Period,Subject,Num_subject,Num_others,choice_task1,choice_task2,choice_task3,choice_task4,choice_same_gender,choice_diff_gender,choice_same_neutral,choice_diff_neutral,random_play_order,play_order,game1,game2,game3,game4,year,campus,roomate,gender,visitation,visitation_first,visitation_second,visitation_third,nonvisitation_first,nonvisitation_second,nonvisitation_third,num_male_total,num_male_others,num_female_total,num_female_others,even_num_male,even_num_female,temp_rand_matching1,temp_rand_matching2,temp_rand_matching3,temp_rand_matching4,temp_matching_rank1,temp_matching_id_sg,temp_matching_rank2,temp_matching_id_dg,temp_matching_rank3,temp_matching_id_sn,temp_matching_rank4,temp_matching_id_dn,quiz_phase,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,answer_stage,choice_game1,stage_control,choice_game2,choice_game3,choice_game4,guess_number,confidence_num_other_choice1,identity,whichpart_identity,part2_choice1,part2_choice2,part2_choice3,part2_choice4,part2_choice5,part2_choice6,part2_choice7,part2_choice8,part2_choice9,part2_choice10,part2_choice11,age,major,nationality,religion,religion_other,opinion_experiment,friend,trust,pass,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,generous,lazy,frugal,impatient,studious,cautious,artistic,patient,reckless,rand_check,check_order,check1,check2,check3,check4,female_avatar,male_avatar,neutral_female_avatar,neutral_male_avatar,payment_task_part1,partner_choice,payment_choice_part1,earning,total_num_choice1_task1,total_num_choice1_task2,total_num_choice1_task3,total_num_choice1_task4,other_num_choice1_task1,other_num_choice1_task2,other_num_choice1_task3,other_num_choice1_task4,num_other_choice1,deviation,extra_point,rand_lottery,selected_row,part2_payment_choice,rand_optionb,threshold_optionb,part2_payment,rand_final,payment_part,final_earning,final_cash,selected_order_task,exp_effect
11,1,1,12,11,1,1,1,1,1,1,1,1,0.197,2,1,2,4,3,4,1,1,2,1,You can have guests of any gender visit you,You can have well-attended events in your room,,The laundry rooms are often free,The rooms in female only buildings are kept cleaner,There are great events in female only buildings ,7,7,5,4,0,0,0.154202728,0.90616886,0.183837081,0.662400996,5,3,2,2,3,2,3,3,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,3,70,1,Her major,2,2,2,2,2,2,1,1,1,1,1,23,Economics,Trinidad and Tobago,3,,It is a good experiment and I hope people who understand game theory to know which choices to make that would benefit us both the same rather than trying to be better than their opponent.,0,0,2,5,3,2,4,4,4,2,4,3,2,2,5,2,1,4,5,1,1,1,5,1,2,4,5,4,5,2,2,19.368,20,4,1,3,2,2,1,3,3,1,0,1,0,4,4,8,8,3,4,7,7,3,0,3,0.020729315,1,2,0.023537953,0,0,0.066743767,2,0,30,1,0
12,1,1,12,11,2,2,2,2,2,2,2,2,0.009,1,1,2,3,4,2,1,0,1,1,You can work on group projects in your room with memebrs of the other gender,You can have friends from the different gender visit you for hang outs,You do not have to worry about who can and cannot come in,"If you do not feel comfortable around people of the different gender, this is a good environmnet",Religious beliefs may make it harder to live with members of the oppostie gender,,6,5,6,6,1,1,0.101831081,0.474984598,0.544148848,0.840998095,6,3,3,3,2,1,3,3,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,2,50,0,,1,1,1,1,1,1,1,1,1,1,2,19,Biology and Visual Arts,Honduras,2,,I think this experiment was about evaluating how much people are willing to risk when taking decissions considering they will be affected in a monetary way.,0,0,2,3,4,5,5,3,3,3,2,3,1,3,1,1,4,4,1,1,1,1,2,4,3,4,2,2,2,2,4,5.304,6,1,4,3,2,3,3,3,3,4,1,2,40,4,5,7,6,4,5,7,6,4,2,1,0.179438721,2,1,0.186396489,0.1,40,0.735247433,1,41,87.4,4,0
13,1,1,20,19,1,1,1,1,1,1,1,1,0.599,4,2,1,4,3,4,1,0,1,1,All genders can visit.,I can visit others in the building who accept all genders visiting.,,Genders are separate. Only same genders can visit.,Each gender has a choice not to interact with the other gender.,,11,10,9,9,0,0,0.081048719,0.852556641,0.451823114,0.80348945,11,6,5,5,8,4,5,5,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,9,100,0,,1,1,1,1,1,1,1,1,2,2,2,23,"Philosophy, Visual Arts",Republic of Korea ,8,,Not complex enough.,4,1,2,4,5,5,5,3,4,4,3,3,3,3,3,3,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,10.056,11,2,4,1,3,2,1,3,3,3,2,1,0,6,8,13,10,5,8,12,9,8,1,2,0.600555658,7,1,0.463110034,0.6,40,0.925277839,1,2,32.8,4,0
14,1,1,22,21,1,1,1,1,1,1,1,1,0.521,4,2,1,4,3,4,1,1,2,1,you can brings guests over,,,you do not need to feel constrained of your religious beliefs,you can be close with same-sex friends,,11,11,11,10,0,0,0.717849703,0.602217451,0.578572617,0.782130911,2,1,4,4,3,2,3,3,9,4,4,4,2,1,2,1,1,0,1,1,1,1,1,7,60,1,gender,1,1,1,1,1,1,2,2,2,2,2,22,psychology,Japanese,8,,about game theory,0,1,2,1,3,4,5,3,3,5,3,4,3,4,3,3,2,2,4,2,1,1,5,2,2,2,4,4,3,5,2,16.488,17,3,4,1,2,2,1,3,3,4,2,1,0,9,4,11,13,8,4,10,12,4,3,0,0.590794129,7,2,0.852394203,0.6,0,0.552614146,1,0,30,3,0
15,1,1,20,19,1,1,2,1,1,1,2,1,0.608,4,2,1,4,3,4,1,0,2,1,my boyfriend can visit,male relatives can visit ,i can hang out with more friends ,it is peaceful ,no issues regarding stolen laundry or dirty kitchens,,10,10,10,9,1,1,0.421852037,0.351427784,0.566522253,0.446763798,5,3,9,9,3,2,5,5,9,4,1,4,1,1,2,1,1,0,1,1,1,1,2,7,90,0,,1,1,1,1,1,1,1,1,1,2,2,22,SRPP,American,5,,how greedy students are?,0,1,2,4,4,3,3,3,4,4,4,2,3,2,5,5,1,2,2,2,1,3,5,3,5,5,5,2,5,5,4,17.4,18,3,4,2,1,2,1,1,1,1,2,1,0,7,7,12,13,6,7,12,12,7,0,3,0.442757458,5,1,0.503867061,0.4,40,0.122237335,2,40,86,2,0
16,1,1,20,19,1,1,1,2,1,1,1,2,0.823,5,3,2,1,4,2,1,0,2,1,Anyone can come over (any gender) which is convenient when you also have friends of the opposite sex.,,,Less people live in the building.,,,10,10,10,9,1,1,0.257445917,0.10447461,0.726167474,0.737186556,7,4,10,10,2,1,2,2,9,4,2,4,2,1,2,1,1,0,1,1,1,1,2,13,60,0,,1,1,1,1,1,1,1,2,2,2,2,20,Biology,British/Thai,6,,Making decisions based on the chance of gaining benefits and trust,2,0,2,3,3,4,4,3,5,2,2,4,3,4,4,5,2,1,2,3,1,1,4,2,3,5,3,4,5,4,2,10.392,11,2,4,1,3,2,1,3,3,3,2,1,0,8,6,11,12,7,6,10,12,10,3,0,0.177203692,2,1,0.606338253,0.1,40,0.533114519,1,0,30,1,0
17,1,1,8,7,1,1,1,1,1,1,1,1,0.523,4,2,1,4,3,1,1,1,2,1,My male friends can come and visit me in the lounge and watch a movie together.,,,I can go to public areas such as the lounge or the laundry room in my pajamas or shorts without having to worry about issues such as modesty.,,,4,4,4,3,1,1,0.861657157,0.153201741,0.487713836,0.720341743,1,1,3,3,2,1,3,3,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,4,90,0,,1,1,1,1,1,1,1,2,2,2,2,19,Art History,Chinese,1,,Whether the factor of gender will impact on social behaviours based on trust.,1,1,2,2,4,5,5,5,5,4,3,4,2,2,3,3,4,4,2,2,1,1,4,4,4,2,3,4,4,4,3,7.32,8,2,1,4,3,2,1,3,3,2,2,1,0,3,2,6,4,2,2,5,3,2,2,1,0.839220454,10,2,0.295722229,0.9,60,0.844826447,1,1,31.4,1,0
18,1,1,10,9,1,1,1,1,1,1,1,1,0.548,4,2,1,4,3,3,1,0,2,1,You can have friends of all genders visit and hang out with you in your room. ,You can have over a significant other of the opposite sex. ,,Generally the laundry rooms are cleaner. For the female non-vis buildings. ,I would feel a bit more relaxed and safer in a non-visitation floor. ,,5,5,5,4,0,0,0.587691773,0.335636685,0.769567896,0.970390946,2,1,4,4,1,1,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,5,99,0,,1,1,1,1,1,1,1,2,2,2,2,21,Creative Writing,American,8,,Desicion making based on the option for mutual benefit among genders. ,1,1,2,3,4,2,4,4,5,4,2,2,1,4,5,4,3,2,2,3,1,1,4,3,3,4,3,3,4,3,2,16.488,17,3,4,1,2,2,1,3,3,2,1,1,60,4,3,6,6,3,3,5,5,3,2,1,0.215798708,3,1,0.747092464,0.2,40,0.502525401,1,61,115.4,1,0
19,1,1,10,9,1,1,1,1,1,1,1,1,0.783,5,3,2,1,4,4,1,0,2,1,friends of opposite gender may visit me,more diversity,,sometimes it feels more liberating not having to worry about the particular habits of my gender,,,5,5,5,4,0,0,0.943655738,0.602459639,0.698765602,0.180125891,1,1,4,4,2,1,4,4,9,4,1,4,1,2,2,1,1,0,1,1,1,1,1,8,90,0,,1,1,1,1,1,1,1,1,2,2,2,22,Computer Science,Romanian,3,,Gender relations and game theory - whether we care of what the other gender is or we treat everyone equally. Might be completely off tho.,2,1,2,2,3,4,4,4,3,2,3,5,2,3,3,3,1,5,1,4,1,1,3,2,1,5,4,4,4,4,4,3.792,4,1,3,4,2,2,1,3,3,1,2,1,0,4,4,7,7,3,4,6,6,6,2,1,0.556021539,7,1,0.346491512,0.6,40,0.483493591,2,40,86,3,1
20,1,1,12,11,1,2,1,1,1,2,1,1,0.855,6,4,2,1,3,2,1,1,2,1,"My friends of the other gender can come to visit, and I have many of them.","There are more people living in visitation, so I see more people on a daily basis, and majority of them are my friends. ","I was in non visitation iver a summer course and it was awful, as I often couldn't see my friends. ","It would be more peaceful, potentially. If you're into that. I respect anyone's right to not have people of the opposite gender in their building.",,,6,6,6,5,1,1,0.194776557,0.198000106,0.817906839,0.728887457,5,3,4,4,2,1,1,1,9,1,1,4,2,1,2,1,1,0,1,1,2,1,1,7,40,1,The only aspect available to me was gender. As a female I am sometimes a little suspicious of males and went for the safer option of choice 2,1,1,1,1,1,1,1,1,2,2,2,20,Social Research and Public Policy,New Zealand,1,,The effects of gender on going for a safe option versus a risky option. A person's propensity to take risks for financial gain ,1,1,2,5,5,2,1,4,5,5,5,1,1,5,4,4,2,4,4,3,1,1,5,2,4,3,3,4,4,4,1,3.216,4,1,3,4,2,2,1,3,3,3,1,1,60,5,4,6,6,4,4,5,5,5,2,1,0.540971746,6,1,0.607238777,0.5,40,0.160701461,2,40,86,4,0
1,1,2,16,15,2,2,2,2,2,2,2,2,0.308,2,1,2,4,3,2,1,0,1,1,Girlfriend can visit,A larger group of friends can visit including girls,People look towards you favorably ,Less guests and less noise,Do not have to worry about always maintaining your room,A niche community,8,7,8,8,1,1,0.731100709,0.803218915,0.909795465,0.613830375,4,2,4,4,1,1,2,2,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,0,100,0,,1,1,1,1,1,1,1,1,2,2,2,21,Computer Science,Nepal,7,,Individual decision making and how participants react to gender cues being inserted into the decison making along with studying Game Theory,10,0,2,5,4,3,4,2,3,4,4,2,3,2,4,4,1,1,4,5,5,5,3,4,3,4,4,2,3,2,5,19.44,20,4,1,3,2,2,1,1,1,1,1,2,40,6,6,9,10,6,6,9,10,6,6,0,0.321871379,4,1,0.21438222,0.3,40,0.586948269,1,40,86,1,1
2,1,2,14,13,1,1,1,1,1,1,1,1,0.336,3,2,1,3,4,4,1,1,1,1,Interact with other gender,Socialize,Able to host guests without any limitations,Strong religious believes,Private space,,7,6,7,7,0,0,0.483714852,0.26802592,0.417842679,0.798053677,6,3,5,5,5,3,1,1,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,,1,1,1,1,1,2,2,2,2,2,2,24,Economics,Ghanaian,5,,"Maximizing the potential of resources available to you, whether or you're risk aversed in your decision making",5,0,2,3,4,4,4,4,5,4,4,4,3,3,3,3,3,4,4,3,4,4,4,3,3,4,3,5,3,5,2,5.4,6,1,4,3,2,2,1,3,1,4,1,1,60,7,6,12,13,6,6,11,12,6,1,2,0.482801944,6,2,0.079658803,0.5,60,0.63478091,1,62,116.8,4,0
3,1,2,14,13,1,1,1,1,1,1,1,1,0.259,2,1,2,4,3,4,1,1,1,1,I have female friends and they can visit me.,My girlfriend can visit me,There is a lot more social life in visitation relatively,It is more quiet and private,Not a lot of people go for events so you have more per resident on Res Ed events,You have a good chance of getting a single,7,6,7,7,0,0,0.01328485,0.036377397,0.198237761,0.262058494,7,4,7,7,6,3,7,7,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,6,90,0,,1,1,1,1,1,1,1,2,2,2,2,23,Computer Science,Pakistan,5,-,Perception of other person's identity in a setiing which entails working together,6,0,2,4,3,3,4,3,5,2,4,3,2,2,5,5,5,5,3,4,1,4,2,4,3,3,2,3,1,3,3,2.64,3,1,3,2,4,3,1,3,3,2,2,1,0,6,5,6,7,5,5,5,6,5,1,2,0.335218132,4,1,0.568355023,0.3,40,0.921232639,1,2,32.8,2,1
4,1,2,16,15,1,2,2,2,1,2,2,2,0.289,2,1,2,4,3,4,1,1,2,1,Interact with friends of opposite gender ,More events happening,,Quiet ,,,8,8,8,7,1,1,0.721544134,0.776028223,0.21195055,0.309496688,3,2,3,3,6,3,6,6,9,4,1,4,2,1,2,1,1,0,1,1,2,2,2,3,50,1,cooperativeness,1,1,1,1,1,1,1,1,2,2,2,22,Economics,South Korea ,8,,gender difference in risk averseness and how you perceive it,1,0,2,4,4,4,4,3,3,4,3,3,2,3,3,3,2,4,1,1,1,1,3,3,3,3,4,4,3,3,3,14.016,15,3,2,1,4,2,1,3,3,2,2,2,40,3,4,8,7,2,4,8,7,2,1,2,0.868560524,10,2,0.699791211,0.9,60,0.193969304,2,60,114,2,0
5,1,2,16,15,1,1,2,2,1,1,2,2,0.25,2,1,2,4,3,2,1,1,1,1,"As I have both male and female friends, they are all able to visit me. ","If I were to have a partner, spending time together would be significantly easier. ",,Not all my friends could visit. ,"I would be significantly socially excluded, as my social circle encompasses both male and female people. ",,8,7,8,8,1,1,0.156341833,0.637181678,0.821943089,0.787225296,8,4,3,3,4,2,2,2,9,4,4,4,1,1,2,1,1,0,1,1,1,2,2,3,70,0,,1,1,1,1,1,1,1,1,2,2,2,20,Political Science,Guatemala,8,,game theory and behavioral economics,2,0,2,5,2,4,3,5,3,2,2,5,3,3,4,4,2,2,1,2,1,2,3,3,3,4,3,4,2,2,4,6.36,7,2,1,3,4,2,1,3,3,2,1,1,60,3,6,7,8,2,6,7,8,2,1,2,0.497172373,6,1,0.745686511,0.5,40,0.017047455,2,40,86,2,0
6,1,2,18,17,1,1,1,1,1,1,1,1,0.704,5,3,2,1,4,1,1,1,2,1,our male firends can visit us,we can have parties,it will be more diverse,no disturb,comfortable,less population,9,9,9,8,0,0,0.119116913,0.55190827,0.65990694,0.101446357,7,4,6,6,3,2,6,6,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,9,80,1,whether he/she is a risk taker or not,1,1,1,1,1,1,1,2,2,2,2,18,Computer Science,Afghan,5,,to test how risky people are in making decisions I guess,1,0,2,3,3,2,3,3,2,2,3,3,1,3,5,5,5,5,5,2,1,2,1,5,5,4,4,5,5,5,4,13.224,14,3,1,4,2,2,1,3,1,2,1,1,60,4,3,5,8,3,3,4,7,4,5,0,0.41334327,5,1,0.679086889,0.4,40,0.82414986,1,60,114,2,0
7,1,2,16,15,1,1,1,1,1,1,1,1,0.017,1,1,2,3,4,2,1,0,2,0,My boyfriend can come visit me in my room,I have more freedom who can come to my room,I can host social gatherings in my room without the need to check people's gender,Quiter ,,,8,8,8,7,1,1,0.244031057,0.839934485,0.307545513,0.039475148,4,2,2,2,4,2,8,8,9,4,2,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,-,1,1,1,1,1,1,2,2,2,2,2,21,Biology,Lithuanian,2,-,Taking risks and making decisions,0,1,2,2,4,5,4,4,4,4,4,3,2,4,4,4,2,2,1,1,1,1,4,3,4,4,3,4,3,3,3,15.168,16,3,2,4,1,2,1,3,3,4,2,1,0,6,7,13,13,5,7,12,12,5,2,1,0.186959499,3,1,0.468874439,0.2,40,0.955821109,1,1,31.4,4,0
8,1,2,16,15,1,1,1,1,1,1,1,1,0.394,3,2,1,3,4,4,1,1,1,1,It's more liberal,more free will,healthy community,more privacy,healthy community,more confident,8,7,8,8,1,1,0.479649885,0.918913371,0.934704632,0.181640374,4,2,1,1,2,1,8,8,9,4,1,4,2,1,2,1,1,0,1,1,1,1,1,7,100,0,,1,1,1,1,1,2,2,2,2,2,2,24,Economics,Zambia,2,,Economic Decisions,5,0,2,4,4,4,3,5,5,4,3,3,2,4,4,4,3,3,4,3,4,4,4,2,3,4,3,5,3,5,3,2.976,3,1,3,2,4,2,1,3,3,3,2,1,0,5,4,6,8,4,4,5,7,4,3,0,0.255928073,3,1,0.649434406,0.2,40,0.993710929,1,0,30,3,0
9,1,2,18,17,2,2,2,2,2,2,2,2,0.199,2,1,2,4,3,2,1,1,1,1,Easier for friends of the opposite sex to visit,,,Higher chances of noise and parties,,,9,8,9,9,0,0,0.840878283,0.826991482,0.824703178,0.786309641,4,2,1,1,4,2,3,3,9,4,1,4,2,1,2,1,1,0,2,1,2,2,2,2,50,0,,1,1,1,1,1,1,1,1,1,1,1,19,Physics,Taiwanese,8,-,The experiment is about how much do individuals in a population trust one another to make a mutually beneficial choice.,1,0,2,3,2,4,3,5,3,4,3,3,3,1,4,3,3,3,1,2,1,1,3,3,3,4,1,1,3,2,3,3.312,4,1,3,4,2,2,1,3,3,1,1,2,40,8,7,13,14,8,7,13,14,8,6,0,0.132314129,2,1,0.642209108,0.1,40,0.944628742,1,40,86,1,0
