Sex,Subject#,Group#,Condition,Rank,Role,Round,Round_centred,Proposer_Keep,Proposer_Send,Responder_decision,Responder_attempted_reject,Rejected_offer,Reject_occur,Reject_alt,Rminus1_Reject,Earnings,filter_$,GreedyOffer,EqualOffer,Grip_strength
male,1,1,Control,3,Responder,19,16,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
male,1,1,Control,3,Responder,20,17,55,45,,Yes,45,,No,,15,Not Selected,No,No,
female,2,1,Control,1,Proposer,1,-2,70,30,,Yes,30,,No,No,70,Not Selected,Yes,No,39.7
female,2,1,Control,1,Proposer,2,-1,25,75,,Yes,75,,No,No,25,Not Selected,No,Yes,34.8
female,2,1,Control,1,Proposer,3,0,25,75,,Yes,75,,No,No,25,Selected,No,Yes,35
female,2,1,Control,1,Proposer,4,1,25,75,,Yes,75,,No,No,25,Selected,No,Yes,33.9
female,2,1,Control,1,Proposer,5,2,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,2,1,Control,1,Proposer,6,3,35,65,,Yes,65,,No,No,35,Selected,No,No,
female,2,1,Control,1,Proposer,7,4,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,8,5,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,9,6,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,10,7,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,2,1,Control,1,Proposer,11,8,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,12,9,40,60,,Yes,60,,No,No,40,Selected,No,No,
female,2,1,Control,1,Proposer,13,10,40,60,,Yes,60,,No,No,40,Selected,No,No,
female,2,1,Control,1,Proposer,14,11,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,15,12,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,2,1,Control,1,Proposer,16,13,50,50,,Yes,50,,No,No,50,Selected,No,No,
female,2,1,Control,1,Proposer,17,14,30,70,,Yes,70,,No,No,30,Selected,No,Yes,
female,2,1,Control,1,Proposer,18,15,50,50,,Yes,50,,No,No,50,Selected,No,No,
female,2,1,Control,1,Proposer,19,16,60,40,,Yes,40,,No,No,60,Selected,Yes,No,
female,2,1,Control,1,Proposer,20,17,55,45,,Yes,45,,No,No,55,Selected,No,No,
male,3,1,Control,4,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,51.3
male,3,1,Control,4,Responder,2,-1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,48.4
male,3,1,Control,4,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,52
male,3,1,Control,4,Responder,4,1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,34.7
male,3,1,Control,4,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,3,1,Control,4,Responder,6,3,35,65,,Yes,65,,No,,21.7,Not Selected,No,No,
male,3,1,Control,4,Responder,7,4,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,3,1,Control,4,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,12,9,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,3,1,Control,4,Responder,13,10,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,3,1,Control,4,Responder,14,11,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,15,12,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,3,1,Control,4,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,3,1,Control,4,Responder,17,14,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,
male,3,1,Control,4,Responder,18,15,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,3,1,Control,4,Responder,19,16,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
male,3,1,Control,4,Responder,20,17,55,45,,Yes,45,,No,,15,Not Selected,No,No,
male,4,1,Control,2,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,68.2
male,4,1,Control,2,Responder,2,-1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,31.5
male,4,1,Control,2,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,26.8
male,4,1,Control,2,Responder,4,1,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,36.7
male,4,1,Control,2,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,4,1,Control,2,Responder,6,3,35,65,,Yes,65,,No,,21.7,Not Selected,No,No,
male,4,1,Control,2,Responder,7,4,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,4,1,Control,2,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,12,9,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,4,1,Control,2,Responder,13,10,40,60,,Yes,60,,No,,20,Not Selected,No,No,
male,4,1,Control,2,Responder,14,11,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,15,12,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,4,1,Control,2,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,4,1,Control,2,Responder,17,14,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,
male,4,1,Control,2,Responder,18,15,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,4,1,Control,2,Responder,19,16,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
male,4,1,Control,2,Responder,20,17,55,45,,Yes,45,,No,,15,Not Selected,No,No,
female,5,2,Control,1,Proposer,1,-2,70,30,,Yes,30,,No,No,70,Not Selected,Yes,No,31.7
female,5,2,Control,1,Proposer,2,-1,40,60,,Yes,60,,No,No,40,Not Selected,No,No,37.4
female,5,2,Control,1,Proposer,3,0,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,5,2,Control,1,Proposer,4,1,30,70,,Yes,70,,No,No,30,Selected,No,Yes,42.8
female,5,2,Control,1,Proposer,5,2,50,50,,Yes,50,,No,No,50,Selected,No,No,
female,5,2,Control,1,Proposer,6,3,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,5,2,Control,1,Proposer,7,4,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,5,2,Control,1,Proposer,8,5,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,9,6,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,10,7,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,11,8,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,12,9,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,5,2,Control,1,Proposer,13,10,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,5,2,Control,1,Proposer,14,11,60,40,,Yes,40,,No,No,60,Selected,Yes,No,
female,5,2,Control,1,Proposer,15,12,50,50,,Yes,50,,No,No,50,Selected,No,No,
female,5,2,Control,1,Proposer,16,13,50,50,,Yes,50,,No,No,50,Selected,No,No,
female,5,2,Control,1,Proposer,17,14,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,18,15,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,19,16,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,5,2,Control,1,Proposer,20,17,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,6,2,Control,2,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,33.4
female,6,2,Control,2,Responder,2,-1,40,60,,Yes,60,,No,,20,Not Selected,No,No,54.7
female,6,2,Control,2,Responder,3,0,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,36.4
female,6,2,Control,2,Responder,4,1,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,56.8
female,6,2,Control,2,Responder,5,2,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,6,2,Control,2,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,6,2,Control,2,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,6,2,Control,2,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,10,7,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,6,2,Control,2,Responder,13,10,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,6,2,Control,2,Responder,14,11,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
female,6,2,Control,2,Responder,15,12,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,6,2,Control,2,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,6,2,Control,2,Responder,17,14,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,18,15,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,19,16,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,6,2,Control,2,Responder,20,17,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,30.8
female,7,2,Control,3,Responder,2,-1,40,60,,Yes,60,,No,,20,Not Selected,No,No,32.9
female,7,2,Control,3,Responder,3,0,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,30.5
female,7,2,Control,3,Responder,4,1,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,31.3
female,7,2,Control,3,Responder,5,2,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,7,2,Control,3,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,7,2,Control,3,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,7,2,Control,3,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,10,7,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,7,2,Control,3,Responder,13,10,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,7,2,Control,3,Responder,14,11,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
female,7,2,Control,3,Responder,15,12,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,7,2,Control,3,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
female,7,2,Control,3,Responder,17,14,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,18,15,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,19,16,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,7,2,Control,3,Responder,20,17,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,44.4
male,8,2,Control,4,Responder,2,-1,40,60,,Yes,60,,No,,20,Not Selected,No,No,22.1
male,8,2,Control,4,Responder,3,0,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,42.4
male,8,2,Control,4,Responder,4,1,30,70,,Yes,70,,No,,23.3,Not Selected,No,Yes,35.7
male,8,2,Control,4,Responder,5,2,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,8,2,Control,4,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,8,2,Control,4,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,8,2,Control,4,Responder,8,5,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,9,6,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,10,7,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,11,8,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,8,2,Control,4,Responder,13,10,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,8,2,Control,4,Responder,14,11,60,40,,Yes,40,,No,,13.3,Not Selected,Yes,No,
male,8,2,Control,4,Responder,15,12,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,8,2,Control,4,Responder,16,13,50,50,,Yes,50,,No,,16.7,Not Selected,No,No,
male,8,2,Control,4,Responder,17,14,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,18,15,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,19,16,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,8,2,Control,4,Responder,20,17,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,9,3,Control,1,Proposer,1,-2,70,30,,Yes,30,,No,No,70,Not Selected,Yes,No,26.2
female,9,3,Control,1,Proposer,2,-1,70,30,,Yes,30,,No,No,70,Not Selected,Yes,No,51.9
female,9,3,Control,1,Proposer,3,0,25,75,,Yes,75,,No,No,25,Selected,No,Yes,36.7
female,9,3,Control,1,Proposer,4,1,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,5,2,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,6,3,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,7,4,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,8,5,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,9,6,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,10,7,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,11,8,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,12,9,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,13,10,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,9,3,Control,1,Proposer,14,11,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,15,12,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,16,13,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,17,14,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,18,15,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,19,16,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,9,3,Control,1,Proposer,20,17,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,10,3,Control,2,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,20.7
female,10,3,Control,2,Responder,2,-1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,37.5
female,10,3,Control,2,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,44.5
female,10,3,Control,2,Responder,4,1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,39.6
female,10,3,Control,2,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,8,5,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,9,6,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,11,8,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,13,10,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,10,3,Control,2,Responder,14,11,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,15,12,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,16,13,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,17,14,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,18,15,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,19,16,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,10,3,Control,2,Responder,20,17,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,66.2
male,11,3,Control,3,Responder,2,-1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,41.3
male,11,3,Control,3,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,39
male,11,3,Control,3,Responder,4,1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,47.3
male,11,3,Control,3,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,8,5,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,9,6,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,11,8,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,13,10,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,11,3,Control,3,Responder,14,11,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,15,12,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,16,13,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,17,14,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,18,15,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,19,16,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,11,3,Control,3,Responder,20,17,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,60
male,12,3,Control,4,Responder,2,-1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,19.7
male,12,3,Control,4,Responder,3,0,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,35.8
male,12,3,Control,4,Responder,4,1,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,50.5
male,12,3,Control,4,Responder,5,2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,6,3,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,7,4,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,8,5,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,9,6,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,10,7,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,11,8,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,12,9,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,13,10,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
male,12,3,Control,4,Responder,14,11,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,15,12,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,16,13,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,17,14,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,18,15,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,19,16,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
male,12,3,Control,4,Responder,20,17,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,13,4,Control,4,Responder,1,-2,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,26.5
female,13,4,Control,4,Responder,2,-1,40,60,,Yes,60,,No,,20,Not Selected,No,No,36.3
female,13,4,Control,4,Responder,3,0,55,45,,Yes,45,,No,,15,Not Selected,No,No,46.3
female,13,4,Control,4,Responder,4,1,10,90,,Yes,90,,No,,30,Not Selected,No,No,32.7
female,13,4,Control,4,Responder,5,2,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,13,4,Control,4,Responder,6,3,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,7,4,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,8,5,70,30,,Yes,30,,No,,10,Not Selected,Yes,No,
female,13,4,Control,4,Responder,9,6,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,10,7,40,60,,Yes,60,,No,,20,Not Selected,No,No,
female,13,4,Control,4,Responder,11,8,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,12,9,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,13,10,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,14,11,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,15,12,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,16,13,10,90,,Yes,90,,No,,30,Not Selected,No,No,
female,13,4,Control,4,Responder,17,14,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,13,4,Control,4,Responder,18,15,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,13,4,Control,4,Responder,19,16,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,13,4,Control,4,Responder,20,17,25,75,,Yes,75,,No,,25,Not Selected,No,Yes,
female,14,4,Control,1,Proposer,1,-2,70,30,,Yes,30,,No,No,70,Not Selected,Yes,No,38
female,14,4,Control,1,Proposer,2,-1,40,60,,Yes,60,,No,No,40,Not Selected,No,No,36.2
female,14,4,Control,1,Proposer,3,0,55,45,,Yes,45,,No,No,55,Selected,No,No,36.2
female,14,4,Control,1,Proposer,4,1,10,90,,Yes,90,,No,No,10,Selected,No,No,58.4
female,14,4,Control,1,Proposer,5,2,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
female,14,4,Control,1,Proposer,6,3,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,7,4,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,8,5,70,30,,Yes,30,,No,No,70,Selected,Yes,No,
female,14,4,Control,1,Proposer,9,6,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,10,7,40,60,,Yes,60,,No,No,40,Selected,No,No,
female,14,4,Control,1,Proposer,11,8,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,12,9,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,13,10,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,14,11,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,15,12,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,16,13,10,90,,Yes,90,,No,No,10,Selected,No,No,
female,14,4,Control,1,Proposer,17,14,25,75,,Yes,75,,No,No,25,Selected,No,Yes,
