CaseNumber,IPAddress,DurationInMins,GroupSize,Mechanism,Cooperation,ExpCo,Nother,ExpCoP,PercEffi,conflict1,conflict2,conflict2r,conflict3,conflict4,conflict4r,conflict5,conflict6,conflict6r,Conflict,IR1_Q1,IR1_Q2,IR2_Q1,IR2_Q2,IR3_Q1,IR3_Q2,IR4_Q1,IR4_Q2,PunishQ1_1,PunishQ1_2,PunishQ1_3,PunishQ1_4,PunishQ2_1,PunishQ2_2,PunishQ2_3,PunishQ2_4,PunishQ3_1,PunishQ3_2,PunishQ3_3,PunishQ3_4,PunishQ4_1,PunishQ4_2,PunishQ4_3,PunishQ4_4,Age,Gender
35,99.183.194.217,20.7,40-person group,punishment,contribute 0,20,39,0.5128205128205128,4,"completely disagree
1
","neutral
3
",3,"slightly disagree
2
","neutral
3
",3,"completely disagree
1
","neutral
3
",3,2.1666666666666665,,,,,,,,,0,0,0,10,0,0,7,3,0,5,5,0,3,3,4,0,30,Female
36,182.178.32.106,20.183333333333334,40-person group,reputation,contribute 20,35,39,0.8974358974358975,6,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,"slightly disagree
2
","slightly agree
4
",2,2.6666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,27,Male
37,63.150.133.209,20.133333333333333,40-person group,punishment,contribute 20,30,39,0.7692307692307693,5,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,3,,,,,,,,,2,4,4,0,0,0,10,0,0,5,5,0,3,3,4,0,27,Female
38,99.40.165.92,20.116666666666667,40-person group,punishment,contribute 20,15,39,0.38461538461538464,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2,,,,,,,,,3,3,3,1,4,4,1,1,8,1,1,0,1,1,1,7,40,Female
39,110.54.226.212,20.083333333333332,40-person group,punishment,contribute 20,30,39,0.7692307692307693,4,"slightly agree
4
","slightly agree
4
",2,"completely agree
5
","slightly disagree
2
",4,"slightly agree
4
","slightly agree
4
",2,3.5,,,,,,,,,1,1,1,7,1,1,3,5,1,3,3,3,3,3,3,1,47,Male
40,76.29.109.131,20.05,20-person group,reputation,contribute 20,10,19,0.5263157894736842,4,"slightly disagree
2
","slightly agree
4
",2,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.1666666666666665,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,43,Female
41,71.62.36.156,19.883333333333333,40-person group,reputation,contribute 20,20,39,0.5128205128205128,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,Member 1 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,44,Female
42,69.118.210.252,19.816666666666666,20-person group,control,contribute 20,10,19,0.5263157894736842,5,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.5,,,,,,,,,,,,,,,,,,,,,,,,,49,Female
43,106.51.27.252,19.666666666666668,40-person group,punishment,contribute 20,30,39,0.7692307692307693,5,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.6666666666666665,,,,,,,,,3,2,3,2,3,3,3,1,0,5,5,0,3,4,3,0,36,Female
44,172.73.207.181,19.383333333333333,4-person group,control,contribute 0,1,3,0.3333333333333333,5,"neutral
3
","slightly agree
4
",2,"completely agree
5
","slightly disagree
2
",4,"slightly agree
4
","completely disagree
1
",5,3.8333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,25,Male
45,192.180.161.92,19.25,40-person group,reputation,contribute 20,35,39,0.8974358974358975,7,"slightly agree
4
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.8333333333333333,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,42,Male
46,70.126.96.242,19.233333333333334,40-person group,punishment,contribute 20,39,39,1,6,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,4,3,3,0,3,3,4,0,10,0,0,0,3,3,4,0,51,Female
47,73.56.129.227,19.133333333333333,40-person group,punishment,contribute 20,16,39,0.41025641025641024,5,"neutral
3
","slightly agree
4
",2,"slightly agree
4
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,3.1666666666666665,,,,,,,,,1,1,1,7,1,1,2,6,1,2,2,5,2,2,2,4,38,Female
48,162.195.226.56,18.983333333333334,40-person group,reputation,contribute 20,30,39,0.7692307692307693,5,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,3.6666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,57,Male
49,71.244.201.226,18.933333333333334,40-person group,control,contribute 0,10,39,0.2564102564102564,3,"neutral
3
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"completely agree
5
","completely disagree
1
",5,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,72,Female
50,204.62.111.60,18.816666666666666,20-person group,punishment,contribute 0,10,19,0.5263157894736842,4,"neutral
3
","neutral
3
",3,"slightly agree
4
","neutral
3
",3,"neutral
3
","slightly disagree
2
",4,3.3333333333333335,,,,,,,,,3,3,4,0,3,3,4,0,0,5,5,0,4,3,3,0,34,Female
51,107.77.206.108,18.75,40-person group,reputation,contribute 20,25,39,0.6410256410256411,6,"slightly disagree
2
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","neutral
3
",3,3.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,25,Female
52,75.108.55.13,18.45,40-person group,control,contribute 0,0,39,0,3,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,33,Female
53,107.196.19.9,18.366666666666667,4-person group,punishment,contribute 20,3,3,1,6,"completely disagree
1
","slightly disagree
2
",4,"completely agree
5
","slightly disagree
2
",4,"slightly agree
4
","completely agree
5
",1,3.1666666666666665,,,,,,,,,2,5,3,0,0,0,0,10,5,0,0,5,0,0,0,10,48,Male
54,68.207.3.195,18.033333333333335,20-person group,reputation,contribute 0,0,19,0,7,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","neutral
3
",3,"completely disagree
1
","completely disagree
1
",5,2.3333333333333335,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,I choose no one,,Member 2 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,24,Male
55,83.132.91.124,18.033333333333335,4-person group,reputation,contribute 20,2,3,0.6666666666666666,4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","neutral
3
",3,2.1666666666666665,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,28,Female
56,42.201.175.126,18,20-person group,punishment,contribute 20,18,19,0.9473684210526315,6,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,2,,,,,,,,,0,0,0,10,0,0,10,0,0,5,5,0,3,3,3,1,28,Female
57,73.242.200.224,17.966666666666665,20-person group,reputation,contribute 20,3,19,0.15789473684210525,4,"completely agree
5
","completely agree
5
",1,"completely agree
5
","slightly disagree
2
",4,"slightly agree
4
","slightly agree
4
",2,3.5,Member 3 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,32,Male
58,98.212.246.35,17.933333333333334,20-person group,punishment,contribute 20,15,19,0.7894736842105263,6,"neutral
3
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","neutral
3
",3,2,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,42,Female
59,102.166.8.24,17.916666666666668,4-person group,reputation,contribute 20,1,3,0.3333333333333333,5,"slightly agree
4
","slightly disagree
2
",4,"completely agree
5
","completely agree
5
",1,"slightly agree
4
","neutral
3
",3,3.5,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,I choose no one,,,,,,,,,,,,,,,,,,40,Male
60,173.234.168.43,17.75,4-person group,reputation,contribute 20,2,3,0.6666666666666666,5,"neutral
3
","slightly agree
4
",2,"completely agree
5
","slightly agree
4
",2,"neutral
3
","slightly disagree
2
",4,3.1666666666666665,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),0 tokens,Member 2 (contribute 0 tokens),0 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,27,Female
61,66.27.186.62,17.75,4-person group,punishment,contribute 20,2,3,0.6666666666666666,7,"slightly agree
4
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","slightly agree
4
",2,1.8333333333333333,,,,,,,,,0,0,0,10,1,1,1,7,0,0,0,10,3,3,3,1,50,Female
62,68.200.151.82,17.466666666666665,20-person group,reputation,contribute 0,2,19,0.10526315789473684,6,"slightly agree
4
","completely agree
5
",1,"completely agree
5
","completely agree
5
",1,"slightly agree
4
","completely agree
5
",1,2.6666666666666665,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),0 tokens,Member 1 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,31,Male
63,72.219.200.73,17.366666666666667,4-person group,punishment,contribute 0,2,3,0.6666666666666666,4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,"slightly agree
4
","slightly disagree
2
",4,4,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,24,Male
64,107.77.225.95,17.283333333333335,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"slightly disagree
2
","slightly disagree
2
",4,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.3333333333333335,,,,,,,,,2,4,4,,4,3,3,0,10,0,0,0,4,4,2,0,25,Male
65,185.177.0.7,17.266666666666666,4-person group,punishment,contribute 20,2,3,0.6666666666666666,5,"slightly disagree
2
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.3333333333333333,,,,,,,,,0,0,0,10,0,0,5,5,0,2,2,6,0,0,0,10,24,Male
66,24.196.224.13,17.266666666666666,20-person group,punishment,contribute 20,11,19,0.5789473684210527,5,"neutral
3
","slightly agree
4
",2,"slightly disagree
2
","completely disagree
1
",5,"neutral
3
","slightly disagree
2
",4,3.1666666666666665,,,,,,,,,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,27,Female
67,75.64.38.188,17.25,4-person group,punishment,contribute 20,1,3,0.3333333333333333,5,"slightly disagree
2
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","completely agree
5
",1,1.6666666666666667,,,,,,,,,0,0,0,10,0,0,3,7,0,3,3,4,2,2,2,4,44,Male
68,182.232.242.83,17.133333333333333,4-person group,reputation,contribute 20,3,3,1,6,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1.1666666666666667,Member 3 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,24,Female
69,47.36.92.54,17.083333333333332,20-person group,reputation,contribute 20,10,19,0.5263157894736842,7,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,"completely disagree
1
","completely agree
5
",1,1,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,30,Female
70,99.92.136.175,16.966666666666665,4-person group,reputation,contribute 20,3,3,1,7,"completely disagree
1
","completely agree
5
",1,"slightly disagree
2
","slightly agree
4
",2,"slightly agree
4
","slightly disagree
2
",4,2.3333333333333335,I choose no one,,I choose no one,,I choose no one,,I choose no one,,,,,,,,,,,,,,,,,,41,Male
71,76.122.80.80,16.95,20-person group,reputation,contribute 20,9,19,0.47368421052631576,6,"completely agree
5
","slightly agree
4
",2,"slightly agree
4
","slightly agree
4
",2,"neutral
3
","completely agree
5
",1,2.8333333333333335,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 2 (contribute 0 tokens),6 tokens,,,,,,,,,,,,,,,,,32,Male
72,107.77.226.196,16.933333333333334,40-person group,punishment,contribute 0,13,39,0.3333333333333333,2,"completely disagree
1
","completely disagree
1
",5,"completely agree
5
","completely disagree
1
",5,"completely disagree
1
","completely agree
5
",1,3,,,,,,,,,1,1,1,7,0,0,1,9,0,1,1,8,1,1,1,7,27,Male
73,24.4.2.37,16.7,20-person group,punishment,contribute 20,8,19,0.42105263157894735,3,"slightly disagree
2
","completely agree
5
",1,"slightly agree
4
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,2.1666666666666665,,,,,,,,,,,,10,0,0,0,10,0,0,0,10,0,0,0,10,20,Male
74,75.100.39.90,16.7,40-person group,reputation,contribute 20,20,39,0.5128205128205128,5,"completely disagree
1
","slightly agree
4
",2,"slightly disagree
2
","slightly agree
4
",2,"completely disagree
1
","slightly agree
4
",2,1.6666666666666667,Member 2 (contribute 20 tokens),6 tokens,Member 2 (contribute 20 tokens),6 tokens,Member 1 (contribute 20 tokens),6 tokens,Member 3 (contribute 0 tokens),0 tokens,,,,,,,,,,,,,,,,,30,Female
