id,DG_order,sessionid,playerid,date,treatmentdg,muslim,a2,living_cond,b1,b5,b6,b15,dg_statement1,dg_statement2,type,age,rel_firstidentity,tanzania,intervdgGhana1,intervdgGhana2,intervdgGhana3,intervdgGhana4,intervdgGhana5,c_intervdgGhana6,intervdgTanz1,intervdgTanz2,intervdgTanz3,intervdgTanz4,intervdgTanz5,c_intervdgTanz6,sessionGhana1,sessionGhana2,sessionGhana3,sessionGhana4,sessionGhana5,sessionGhana6,sessionGhana7,sessionGhana8,sessionGhana9,sessionGhana10,sessionGhana11,sessionGhana12,sessionGhana13,sessionGhana14,c_sessionGhana15,sessionTanz1,sessionTanz2,sessionTanz3,sessionTanz4,sessionTanz5,sessionTanz6,sessionTanz7,sessionTanz8,sessionTanz9,sessionTanz10,sessionTanz11,sessionTanz12,sessionTanz13,sessionTanz14,c_sessionTanz15,treatDG1,treatDG2,treatDG3,state3_1,state3_2,state3_3,fdg1,fdg2,samer,discrDG,negative_discri,positive_discri,female,fraction_dg,b3,b4,b8,b9,b10,b11,b12,b13,equal,order,rounddiscr_v1
6,1,1,6,703,Control,yes,some primary,Much worse,A few times a week,yes,yes,yes,neutral,neutral,Accra,83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,Other religion,No,No,0,1,0,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,0
6,2,1,6,703,Control,yes,some primary,Much worse,A few times a week,yes,yes,yes,neutral,neutral,Accra,83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,Same religion,No,No,0,1,0,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,0
7,1,1,7,703,One true religion,yes,no schooling,worse,A few times a week,yes,yes,yes,agree,agree,Accra,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.2,0.2,Other religion,No,No,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,1
7,2,1,7,703,One true religion,yes,no schooling,worse,A few times a week,yes,yes,yes,agree,agree,Accra,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.2,0.2,Same religion,No,No,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,1,0,1
8,1,1,8,703,Universal love,yes,some secondary,Same,About once a week,yes,yes,yes,agree,agree,Accra,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.3,0.2,Other religion,Positive,No,1,1,0.3,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,agree,agree,0,0,1
8,2,1,8,703,Universal love,yes,some secondary,Same,About once a week,yes,yes,yes,agree,agree,Accra,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.3,0.2,Same religion,Positive,No,1,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,agree,agree,0,0,1
9,1,1,9,703,Control,yes,no schooling,Same,A few times a week,yes,yes,yes,disagree,agree,Accra,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.2,0.2,Other religion,No,No,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly disagree,agree,agree,1,0,1
9,2,1,9,703,Control,yes,no schooling,Same,A few times a week,yes,yes,yes,disagree,agree,Accra,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.2,0.2,Same religion,No,No,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly disagree,agree,agree,1,0,1
10,1,1,10,703,One true religion,yes,some primary,Same,About once a week,yes,yes,yes,neutral,agree,Accra,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Same religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,strongly agree,strongly agree,disagree,strongly agree,disagree,1,1,1
10,2,1,10,703,One true religion,yes,some primary,Same,About once a week,yes,yes,yes,neutral,agree,Accra,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Other religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,strongly agree,strongly agree,disagree,strongly agree,disagree,1,1,1
11,1,1,11,703,Universal love,yes,secondary completed,Better,A few times a week,yes,yes,yes,agree,disagree,Accra,74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Same religion,No,No,0,0,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,agree,agree,agree,disagree,1,1,1
11,2,1,11,703,Universal love,yes,secondary completed,Better,A few times a week,yes,yes,yes,agree,disagree,Accra,74,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Other religion,No,No,0,0,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,agree,agree,agree,disagree,1,1,1
12,1,1,12,703,Control,yes,no schooling,Better,About once a week,yes,yes,yes,agree,agree,Accra,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.4,0.3,Same religion,Negative,Negative,0,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly disagree,agree,strongly disagree,0,1,1
12,2,1,12,703,Control,yes,no schooling,Better,About once a week,yes,yes,yes,agree,agree,Accra,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.4,0.3,Other religion,Negative,Negative,0,1,0.3,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly disagree,agree,strongly disagree,0,1,1
13,1,1,13,703,One true religion,yes,no schooling,Better,A few times a week,yes,yes,yes,agree,agree,Accra,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Same religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,1,1,1
13,2,1,13,703,One true religion,yes,no schooling,Better,A few times a week,yes,yes,yes,agree,agree,Accra,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Other religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,1,1,1
14,1,1,14,703,Universal love,yes,completed post-secondary,Better,A few times a year,yes,yes,yes,neutral,agree,Accra,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.5,0.5,Same religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,strongly agree,disagree,1,1,1
14,2,1,14,703,Universal love,yes,completed post-secondary,Better,A few times a year,yes,yes,yes,neutral,agree,Accra,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.5,0.5,Other religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,strongly agree,disagree,1,1,1
15,1,1,15,703,Control,yes,some secondary,worse,A few times a week,yes,yes,yes,agree,agree,Accra,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.5,Same religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,1,1
15,2,1,15,703,Control,yes,some secondary,worse,A few times a week,yes,yes,yes,agree,agree,Accra,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.5,Other religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,1,1
16,1,1,16,703,One true religion,yes,no schooling,Better,About once a month,yes,yes,yes,agree,agree,Accra,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Other religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,1,0,1
16,2,1,16,703,One true religion,yes,no schooling,Better,About once a month,yes,yes,yes,agree,agree,Accra,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.5,0.5,Same religion,No,No,0,0,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,1,0,1
17,1,1,17,703,Universal love,yes,no schooling,Same,A few times a week,yes,yes,yes,agree,neutral,Accra,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,neutral,0,0.4,0.4,Other religion,No,No,0,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,disagree,strongly agree,disagree,1,0,1
17,2,1,17,703,Universal love,yes,no schooling,Same,A few times a week,yes,yes,yes,agree,neutral,Accra,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,neutral,0,0.4,0.4,Same religion,No,No,0,1,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,disagree,strongly agree,disagree,1,0,1
18,1,1,18,703,Control,yes,some secondary,Better,A few times a week,yes,yes,yes,agree,agree,Accra,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.2,0.2,Other religion,No,No,0,0,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,0,1
18,2,1,18,703,Control,yes,some secondary,Better,A few times a week,yes,yes,yes,agree,agree,Accra,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.2,0.2,Same religion,No,No,0,0,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,0,1
19,1,1,19,703,One true religion,no,primary completed,worse,,,,yes,disagree,agree,Accra,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.1,0.1,Same religion,No,No,0,1,0.1,,,,,,strongly agree,strongly agree,disagree,1,1,1
19,2,1,19,703,One true religion,no,primary completed,worse,,,,yes,disagree,agree,Accra,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,disagree,0,0,0.1,0.1,Other religion,No,No,0,1,0.1,,,,,,strongly agree,strongly agree,disagree,1,1,1
20,1,1,20,703,Universal love,yes,no schooling,Same,About once a week,yes,yes,yes,agree,agree,Accra,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.1,0,Other religion,Positive,No,1,1,0.1,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,uncertain,agree,agree,0,0,1
20,2,1,20,703,Universal love,yes,no schooling,Same,About once a week,yes,yes,yes,agree,agree,Accra,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.1,0,Same religion,Positive,No,1,1,0,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,uncertain,agree,agree,0,0,1
21,1,1,21,703,Control,yes,secondary completed,Better,About once a week,yes,yes,yes,agree,agree,Accra,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.5,Other religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,1,0,1
21,2,1,21,703,Control,yes,secondary completed,Better,About once a week,yes,yes,yes,agree,agree,Accra,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.5,Same religion,No,No,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,strongly disagree,strongly disagree,strongly disagree,agree,strongly agree,1,0,1
22,1,1,22,703,One true religion,yes,secondary completed,Same,A few times a week,yes,yes,yes,agree,agree,Accra,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.1,0.1,Same religion,No,No,0,0,0.1,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly agree,disagree,disagree,1,1,1
22,2,1,22,703,One true religion,yes,secondary completed,Same,A few times a week,yes,yes,yes,agree,agree,Accra,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.1,0.1,Other religion,No,No,0,0,0.1,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,agree,agree,strongly agree,strongly agree,disagree,disagree,1,1,1
23,1,1,23,703,Universal love,yes,secondary completed,Same,About once a week,yes,yes,yes,disagree,disagree,Accra,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Same religion,No,No,0,0,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,1,1
23,2,1,23,703,Universal love,yes,secondary completed,Same,About once a week,yes,yes,yes,disagree,disagree,Accra,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0.4,0.4,Other religion,No,No,0,0,0.4,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,1,1,1
24,1,1,24,703,Control,yes,primary completed,Same,About once a week,yes,yes,yes,agree,agree,Accra,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.2,Same religion,Negative,Negative,0,1,0.5,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,agree,agree,0,1,1
24,2,1,24,703,Control,yes,primary completed,Same,About once a week,yes,yes,yes,agree,agree,Accra,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0.5,0.2,Other religion,Negative,Negative,0,1,0.2,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,agree,agree,agree,0,1,1
25,1,1,25,703,One true religion,yes,primary completed,worse,About once a month,yes,yes,yes,agree,agree,Accra,53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,agree,0,0,0.3,0.3,Same religion,No,No,0,0,0.3,Prayer is a regular part of my daily life,I am  sure  that  God  really  exists  and  that  He  is active  in  my  life,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,1,1,1
