Soc_Ref,Persec,Paranoia,Age,Gender,earnmore,harmme,frame,frame_bin,fairness,fair_bin,believe_real,similarHITS,role,role_bin,,Key,
22,17,39,30,Male,100,0,take,1,stingy,1,4,4,receiver,1,,,
36,17,53,36,Female,88,0,take,1,fair,0,5,1,receiver,1,,,
16,16,32,41,Female,100,0,take,1,fair,0,4,4,receiver,1,,,
16,16,32,42,Male,50,17,take,1,fair,0,5,4,receiver,1,,,
18,18,36,26,Male,100,2,give,0,stingy,1,5,3,receiver,1,,,
16,16,32,38,Female,100,0,take,1,stingy,1,4,3,receiver,1,,,
44,36,80,39,Female,47,34,take,1,fair,0,3,4,receiver,1,,,
16,16,32,70,Male,70,33,take,1,fair,0,5,2,receiver,1,,,
25,16,41,30,Female,13,0,give,0,fair,0,5,3,receiver,1,,,
60,50,110,29,Female,100,0,take,1,fair,0,4,3,receiver,1,,,
19,21,40,22,Female,100,0,give,0,stingy,1,5,3,receiver,1,,,
43,24,67,32,Female,84,25,take,1,stingy,1,4,2,receiver,1,,,
29,22,51,51,Male,59,67,take,1,fair,0,4,3,receiver,1,,,
22,20,42,37,Male,26,1,give,0,fair,0,5,3,receiver,1,,,
26,22,48,32,Female,100,5,take,1,stingy,1,4,3,receiver,1,,,
23,21,44,26,Male,0,0,give,0,fair,0,5,3,receiver,1,,,
30,31,61,28,Male,61,0,give,0,fair,0,5,4,receiver,1,,,
44,50,94,40,Female,100,0,give,0,stingy,1,5,3,receiver,1,,,
45,23,68,26,Male,100,28,give,0,stingy,1,4,1,receiver,1,,,
24,24,48,44,Female,100,46,give,0,fair,0,4,4,receiver,1,,,
25,19,44,36,Male,89,8,take,1,stingy,1,5,3,receiver,1,,,
17,17,34,34,Male,0,0,give,0,fair,0,5,3,receiver,1,,,
19,23,42,38,Female,100,0,give,0,stingy,1,4,4,receiver,1,,,
34,18,52,52,Male,100,0,give,0,stingy,1,5,3,receiver,1,,,
16,16,32,63,Male,46,0,take,1,fair,0,4,4,receiver,1,,,
22,17,39,39,Male,66,21,take,1,fair,0,3,3,receiver,1,,,
24,18,42,71,Male,97,10,take,1,stingy,1,4,3,receiver,1,,,
43,21,64,30,Female,32,0,give,0,fair,0,2,4,receiver,1,,,
34,17,51,27,Male,90,7,take,1,fair,0,4,4,receiver,1,,,
19,16,35,29,Female,51,0,give,0,fair,0,3,4,receiver,1,,,
22,16,38,34,Female,100,1,take,1,stingy,1,5,1,receiver,1,,,
50,61,111,41,Male,100,0,give,0,stingy,1,5,4,receiver,1,,,
25,30,55,47,Female,83,79,take,1,stingy,1,4,4,receiver,1,,,
38,33,71,38,Female,51,23,take,1,fair,0,1,2,receiver,1,,,
17,16,33,48,Female,38,36,take,1,fair,0,3,3,receiver,1,,,
18,16,34,28,Male,100,0,give,0,stingy,1,4,5,receiver,1,,,
16,16,32,59,Female,51,0,give,0,fair,0,5,3,receiver,1,,,
16,16,32,29,Male,49,49,take,1,fair,0,5,1,receiver,1,,,
55,41,96,23,Male,100,13,give,0,stingy,1,1,4,receiver,1,,,
32,32,64,59,Female,72,32,take,1,fair,0,3,3,receiver,1,,,
37,23,60,23,Female,17,0,give,0,fair,0,1,4,receiver,1,,,
21,16,37,29,Male,100,0,give,0,stingy,1,5,2,receiver,1,,,
21,18,39,20,Male,43,0,give,0,fair,0,4,2,receiver,1,,,
47,49,96,30,Male,70,16,take,1,fair,0,3,4,receiver,1,,,
27,19,46,42,Male,52,53,take,1,stingy,1,3,4,receiver,1,,,
24,21,45,35,Female,54,9,take,1,fair,0,5,2,receiver,1,,,
56,48,104,30,Female,64,51,take,1,fair,0,5,5,receiver,1,,,
16,16,32,32,Male,72,36,take,1,fair,0,1,3,receiver,1,,,
19,19,38,21,Male,60,19,give,0,fair,0,4,3,receiver,1,,,
16,16,32,36,Male,47,0,give,0,fair,0,5,1,receiver,1,,,
20,17,37,39,Female,100,91,take,1,stingy,1,4,1,receiver,1,,,
27,22,49,19,Female,100,0,give,0,stingy,1,3,4,receiver,1,,,
17,16,33,47,Female,30,0,give,0,fair,0,5,3,receiver,1,,,
40,31,71,39,Male,51,0,take,1,fair,0,5,2,receiver,1,,,
27,21,48,35,Female,24,38,take,1,fair,0,3,2,receiver,1,,,
26,16,42,45,Female,57,13,take,1,fair,0,4,2,receiver,1,,,
18,16,34,33,Male,34,10,give,0,fair,0,2,4,receiver,1,,,
18,16,34,55,Female,100,0,take,1,stingy,1,5,2,receiver,1,,,
16,16,32,35,Male,100,0,give,0,fair,0,3,1,receiver,1,,,
25,18,43,31,Male,59,25,take,1,fair,0,4,3,receiver,1,,,
58,52,110,32,Male,0,0,give,0,fair,0,5,3,receiver,1,,,
20,16,36,31,Male,100,0,take,1,stingy,1,1,4,receiver,1,,,
23,17,40,42,Male,25,0,give,0,fair,0,4,1,receiver,1,,,
19,20,39,40,Male,100,5,give,0,stingy,1,2,3,receiver,1,,,
45,22,67,26,Female,99,84,take,1,stingy,1,5,2,receiver,1,,,
23,16,39,39,Female,78,10,take,1,stingy,1,5,1,receiver,1,,,
17,16,33,55,Male,100,0,take,1,stingy,1,1,4,receiver,1,,,
49,33,82,43,Female,100,100,give,0,stingy,1,4,1,receiver,1,,,
17,16,33,24,Female,100,0,give,0,stingy,1,4,5,receiver,1,,,
39,18,57,43,Female,8,6,give,0,fair,0,1,3,receiver,1,,,
16,16,32,62,Male,100,0,take,1,fair,0,4,2,receiver,1,,,
22,38,60,42,Male,100,32,give,0,stingy,1,1,4,receiver,1,,,
19,19,38,18,Male,0,0,give,0,stingy,1,5,1,receiver,1,,,
16,16,32,38,Female,9,4,give,0,fair,0,5,4,receiver,1,,,
46,40,86,28,Female,79,80,take,1,fair,0,4,1,receiver,1,,,
27,20,47,18,Female,66,0,take,1,fair,0,5,3,receiver,1,,,
18,16,34,23,Male,44,0,give,0,fair,0,4,3,receiver,1,,,
19,16,35,43,Female,100,0,take,1,stingy,1,5,2,receiver,1,,,
22,19,41,31,Male,100,0,take,1,fair,0,3,4,receiver,1,,,
20,18,38,64,Male,100,21,take,1,stingy,1,3,3,receiver,1,,,
24,17,41,23,Female,100,22,give,0,stingy,1,5,4,receiver,1,,,
24,16,40,37,Male,100,0,take,1,fair,0,4,1,receiver,1,,,
16,16,32,34,Female,100,0,give,0,stingy,1,4,2,receiver,1,,,
17,16,33,36,Male,15,0,give,0,fair,0,3,1,receiver,1,,,
17,16,33,27,Male,100,6,take,1,fair,0,2,3,receiver,1,,,
24,21,45,31,Female,87,37,give,0,stingy,1,1,3,receiver,1,,,
20,17,37,38,Female,100,67,give,0,stingy,1,4,3,receiver,1,,,
31,27,58,57,Female,84,84,take,1,fair,0,2,1,receiver,1,,,
32,22,54,42,Female,28,0,give,0,fair,0,4,3,receiver,1,,,
27,21,48,26,Female,69,2,give,0,fair,0,4,5,receiver,1,,,
24,19,43,40,Female,100,0,take,1,fair,0,3,5,receiver,1,,,
25,23,48,54,Female,100,0,give,0,stingy,1,5,4,receiver,1,,,
16,16,32,59,Female,72,22,give,0,fair,0,3,3,receiver,1,,,
34,19,53,27,Female,80,22,take,1,stingy,1,5,3,receiver,1,,,
29,18,47,32,Male,92,11,take,1,stingy,1,4,2,receiver,1,,,
18,16,34,46,Male,60,15,take,1,fair,0,1,4,receiver,1,,,
28,16,44,26,Male,0,0,give,0,fair,0,3,3,receiver,1,,,
29,25,54,36,Male,21,0,give,0,fair,0,5,4,receiver,1,,,
16,16,32,27,Female,100,0,take,1,stingy,1,5,1,receiver,1,,,
26,18,44,31,Female,73,8,take,1,fair,0,4,2,receiver,1,,,
17,16,33,50,Female,48,4,give,0,fair,0,5,4,receiver,1,,,
16,16,32,46,Female,100,1,take,1,fair,0,5,3,receiver,1,,,
16,16,32,34,Male,18,0,give,0,fair,0,5,3,receiver,1,,,
17,16,33,53,Female,91,89,take,1,stingy,1,5,1,receiver,1,,,
24,18,42,40,Female,73,58,give,0,fair,0,1,4,receiver,1,,,
20,16,36,31,Male,100,0,give,0,stingy,1,1,5,receiver,1,,,
24,20,44,22,Male,37,0,take,1,fair,0,3,4,receiver,1,,,
23,18,41,25,Male,0,0,give,0,fair,0,5,1,receiver,1,,,
19,16,35,36,Female,98,98,take,1,stingy,1,4,3,receiver,1,,,
19,17,36,27,Male,100,20,take,1,stingy,1,5,2,receiver,1,,,
24,20,44,66,Female,62,40,take,1,stingy,1,3,3,receiver,1,,,
26,17,43,62,Female,91,50,take,1,fair,0,3,2,receiver,1,,,
38,34,72,27,Female,1,0,give,0,fair,0,2,1,receiver,1,,,
22,23,45,37,Female,51,12,take,1,fair,0,4,3,receiver,1,,,
23,21,44,53,Male,15,0,give,0,fair,0,4,4,receiver,1,,,
26,26,52,21,Female,22,0,give,0,fair,0,3,4,receiver,1,,,
20,16,36,30,Male,15,27,give,0,fair,0,3,4,receiver,1,,,
17,16,33,34,Male,0,0,give,0,fair,0,4,3,receiver,1,,,
45,51,96,23,Male,100,0,give,0,stingy,1,1,3,receiver,1,,,
24,16,40,49,Female,100,0,give,0,stingy,1,3,2,receiver,1,,,
18,17,35,51,Female,98,7,take,1,stingy,1,1,4,receiver,1,,,
39,27,66,31,Female,95,18,take,1,fair,0,5,1,receiver,1,,,
55,29,84,51,Male,46,46,give,0,fair,0,4,1,receiver,1,,,
17,16,33,48,Male,6,0,take,1,fair,0,1,4,receiver,1,,,
19,16,35,23,Male,100,20,give,0,stingy,1,2,4,receiver,1,,,
16,16,32,44,Male,100,0,give,0,stingy,1,5,3,receiver,1,,,
17,16,33,35,Male,56,59,give,0,fair,0,3,2,receiver,1,,,
48,32,80,20,Male,100,0,give,0,fair,0,1,4,receiver,1,,,
18,16,34,34,Male,72,0,take,1,fair,0,5,1,receiver,1,,,
19,22,41,38,Male,15,38,take,1,stingy,1,3,2,receiver,1,,,
16,16,32,34,Female,97,0,give,0,fair,0,5,5,receiver,1,,,
34,31,65,44,Male,100,29,take,1,stingy,1,4,3,receiver,1,,,
16,16,32,34,Female,100,0,take,1,fair,0,1,5,receiver,1,,,
66,80,146,34,Female,45,0,give,0,fair,0,4,4,receiver,1,,,
19,18,37,35,Female,76,23,take,1,stingy,1,4,4,receiver,1,,,
22,16,38,32,Male,100,0,give,0,stingy,1,4,3,receiver,1,,,
60,56,116,27,Female,100,100,give,0,fair,0,5,4,receiver,1,,,
33,33,66,32,Male,59,39,give,0,fair,0,3,2,receiver,1,,,
54,44,98,24,Male,69,46,give,0,fair,0,3,2,receiver,1,,,
41,32,73,37,Male,100,0,give,0,stingy,1,2,4,receiver,1,,,
17,18,35,28,Male,100,0,give,0,stingy,1,2,3,receiver,1,,,
30,20,50,51,Female,85,28,take,1,stingy,1,4,4,receiver,1,,,
16,16,32,41,Male,74,11,take,1,fair,0,2,2,receiver,1,,,
24,18,42,28,Male,100,0,give,0,stingy,1,3,4,receiver,1,,,
39,43,82,31,Female,100,100,give,0,stingy,1,5,3,receiver,1,,,
25,17,42,41,Female,33,22,take,1,fair,0,5,3,receiver,1,,,
59,49,108,20,Male,92,39,take,1,stingy,1,4,3,receiver,1,,,
52,29,81,49,Male,98,0,take,1,stingy,1,1,1,receiver,1,,,
20,16,36,24,Female,0,0,take,1,fair,0,3,1,receiver,1,,,
16,16,32,36,Female,45,0,give,0,fair,0,1,3,receiver,1,,,
23,21,44,32,Male,0,0,take,1,fair,0,1,3,receiver,1,,,
34,37,71,39,Female,99,70,take,1,stingy,1,5,3,receiver,1,,,
23,17,40,49,Male,100,0,take,1,stingy,1,4,1,receiver,1,,,
45,21,66,37,Female,65,0,take,1,fair,0,4,1,receiver,1,,,
43,43,86,49,Female,100,0,take,1,stingy,1,4,3,receiver,1,,,
21,17,38,42,Female,98,4,take,1,stingy,1,4,1,receiver,1,,,
23,20,43,36,Male,13,7,give,0,fair,0,1,4,receiver,1,,,
24,17,41,29,Male,100,56,take,1,stingy,1,2,3,receiver,1,,,
44,33,77,26,Male,80,76,take,1,fair,0,5,4,receiver,1,,,
22,17,39,30,Female,100,0,take,1,stingy,1,3,4,receiver,1,,,
20,17,37,19,Male,70,0,give,0,fair,0,3,2,receiver,1,,,
29,26,55,30,Male,33,36,give,0,fair,0,4,3,receiver,1,,,
19,17,36,45,Female,51,51,take,1,fair,0,2,3,receiver,1,,,
20,16,36,28,Female,78,11,give,0,fair,0,4,3,receiver,1,,,
21,17,38,30,Male,56,5,give,0,fair,0,2,2,receiver,1,,,
25,21,46,32,Female,100,62,give,0,stingy,1,5,3,receiver,1,,,
22,17,39,34,Male,100,4,give,0,stingy,1,1,3,receiver,1,,,
21,16,37,32,Female,100,0,give,0,stingy,1,3,1,receiver,1,,,
19,16,35,37,Male,52,0,take,1,fair,0,4,2,receiver,1,,,
64,61,125,30,Female,75,67,give,0,stingy,1,4,2,receiver,1,,,
17,16,33,31,Male,100,0,give,0,stingy,1,3,4,receiver,1,,,
20,19,39,40,Female,73,0,give,0,fair,0,5,3,receiver,1,,,
31,22,53,26,Male,98,21,take,1,stingy,1,4,5,receiver,1,,,
20,18,38,31,Male,24,21,take,1,fair,0,5,3,receiver,1,,,
32,20,52,24,Female,51,0,take,1,fair,0,1,3,receiver,1,,,
24,17,41,30,Male,100,48,take,1,stingy,1,2,1,receiver,1,,,
16,16,32,39,Female,38,60,give,0,fair,0,1,1,receiver,1,,,
17,16,33,33,Male,52,0,give,0,fair,0,4,3,receiver,1,,,
29,20,49,28,Female,55,0,take,1,fair,0,5,3,receiver,1,,,
20,45,65,34,Female,51,33,take,1,fair,0,1,4,receiver,1,,,
25,18,43,34,Female,43,66,take,1,fair,0,4,3,receiver,1,,,
23,21,44,23,Male,100,24,take,1,stingy,1,5,2,receiver,1,,,
28,19,47,37,Female,22,0,give,0,fair,0,4,4,receiver,1,,,
18,17,35,56,Male,100,60,take,1,stingy,1,5,1,receiver,1,,,
19,16,35,37,Male,100,21,take,1,stingy,1,2,3,receiver,1,,,
26,16,42,38,Female,77,11,take,1,fair,0,4,4,receiver,1,,,
32,39,71,37,Female,70,5,give,0,fair,0,5,3,receiver,1,,,
16,16,32,32,Female,100,0,give,0,stingy,1,4,2,receiver,1,,,
19,16,35,52,Male,19,0,take,1,fair,0,4,2,receiver,1,,,
16,16,32,37,Female,100,0,give,0,stingy,1,5,4,receiver,1,,,
33,23,56,31,Female,100,0,give,0,stingy,1,2,3,receiver,1,,,
17,16,33,31,Female,99,5,take,1,stingy,1,3,2,receiver,1,,,
16,16,32,41,Male,80,0,give,0,fair,0,3,3,receiver,1,,,
20,17,37,37,Male,11,0,take,1,fair,0,3,3,receiver,1,,,
59,60,119,20,Female,100,37,give,0,stingy,1,2,2,receiver,1,,,
32,29,61,29,Male,100,0,give,0,stingy,1,5,1,receiver,1,,,
18,21,39,38,Female,62,15,give,0,fair,0,5,4,receiver,1,,,
17,16,33,45,Female,81,15,take,1,stingy,1,2,1,receiver,1,,,
17,16,33,59,Female,0,0,give,0,fair,0,5,4,receiver,1,,,
41,22,63,28,Female,73,0,take,1,fair,0,2,3,receiver,1,,,
40,38,78,32,Female,61,34,take,1,fair,0,4,3,receiver,1,,,
30,32,62,29,Female,100,100,give,0,stingy,1,3,4,receiver,1,,,
44,47,91,37,Male,50,49,take,1,fair,0,1,4,receiver,1,,,
18,16,34,39,Female,60,35,give,0,stingy,1,4,2,receiver,1,,,
24,16,40,37,Female,100,0,give,0,stingy,1,3,1,receiver,1,,,
40,35,75,29,Female,1,96,give,0,fair,0,5,1,receiver,1,,,
20,16,36,36,Male,100,0,give,0,stingy,1,1,3,receiver,1,,,
16,16,32,35,Male,100,12,take,1,stingy,1,5,1,receiver,1,,,
28,23,51,54,Male,79,0,give,0,fair,0,2,3,receiver,1,,,
16,18,34,49,Male,100,0,give,0,stingy,1,4,4,receiver,1,,,
27,21,48,18,Male,100,25,take,1,fair,0,4,4,receiver,1,,,
45,41,86,27,Male,100,0,take,1,stingy,1,5,1,receiver,1,,,
24,16,40,24,Male,100,100,take,1,stingy,1,4,5,receiver,1,,,
18,20,38,38,Female,80,10,take,1,fair,0,2,1,receiver,1,,,
23,19,42,61,Female,81,21,take,1,fair,0,2,3,receiver,1,,,
43,32,75,39,Female,43,7,give,0,fair,0,3,4,receiver,1,,,
16,16,32,45,Male,64,31,take,1,fair,0,1,4,receiver,1,,,
50,34,84,27,Male,85,42,give,0,fair,0,5,4,receiver,1,,,
22,16,38,31,Male,100,0,give,0,stingy,1,4,3,receiver,1,,,
24,16,40,53,Female,22,19,give,0,fair,0,2,3,receiver,1,,,
38,20,58,61,Male,50,0,take,1,fair,0,1,3,receiver,1,,,
18,16,34,61,Female,100,0,give,0,stingy,1,5,1,receiver,1,,,
20,16,36,25,Female,100,82,take,1,stingy,1,2,2,receiver,1,,,
17,16,33,41,Female,27,0,give,0,fair,0,5,3,receiver,1,,,
18,16,34,37,Male,100,0,give,0,stingy,1,4,2,receiver,1,,,
27,22,49,33,Male,16,0,give,0,fair,0,5,5,receiver,1,,,
47,57,104,41,Female,100,26,give,0,stingy,1,5,2,receiver,1,,,
30,21,51,52,Female,98,10,take,1,fair,0,2,4,receiver,1,,,
16,16,32,43,Female,26,0,give,0,fair,0,2,3,receiver,1,,,
24,19,43,34,Male,100,0,give,0,stingy,1,5,2,receiver,1,,,
16,16,32,51,Female,100,68,take,1,stingy,1,3,3,receiver,1,,,
18,16,34,53,Female,100,100,give,0,stingy,1,3,3,receiver,1,,,
16,16,32,43,Female,100,100,give,0,fair,0,4,1,receiver,1,,,
18,17,35,34,Female,0,0,give,0,fair,0,1,4,receiver,1,,,
19,16,35,52,Female,100,8,give,0,stingy,1,5,5,receiver,1,,,
30,22,52,33,Female,100,0,take,1,stingy,1,5,3,receiver,1,,,
47,47,94,21,Male,90,26,give,0,stingy,1,2,4,receiver,1,,,
29,22,51,39,Female,51,0,take,1,fair,0,1,3,receiver,1,,,
21,19,40,28,Female,72,0,take,1,fair,0,3,1,receiver,1,,,
22,16,38,70,Female,100,0,take,1,fair,0,4,1,receiver,1,,,
23,16,39,26,Female,100,5,give,0,fair,0,2,1,receiver,1,,,
27,31,58,34,Male,67,28,give,0,fair,0,2,4,receiver,1,,,
21,33,54,36,Female,100,0,give,0,stingy,1,5,4,receiver,1,,,
44,20,64,22,Female,100,0,give,0,stingy,1,1,3,receiver,1,,,
53,33,86,34,Male,61,0,give,0,fair,0,5,2,receiver,1,,,
21,19,40,33,Female,50,0,give,0,fair,0,4,4,receiver,1,,,
17,29,46,31,Female,36,27,give,0,fair,0,1,2,receiver,1,,,
19,16,35,40,Male,67,14,give,0,stingy,1,5,4,receiver,1,,,
50,33,83,28,Female,51,21,take,1,fair,0,5,3,receiver,1,,,
26,19,45,27,Female,95,38,give,0,fair,0,5,1,receiver,1,,,
19,16,35,26,Female,100,48,take,1,stingy,1,1,4,receiver,1,,,
80,48,128,34,Female,100,0,give,0,fair,0,5,1,receiver,1,,,
